iter	Passed	Remaining
823	1204	257
824	1205	255
825	1206	254
826	1207	252
827	1209	251
828	1210	249
829	1211	248
830	1212	246
831	1214	245
832	1215	243
833	1216	242
834	1217	240
835	1219	239
836	1220	237
837	1221	236
838	1222	234
839	1224	233
840	1225	231
841	1226	230
842	1227	228
843	1229	227
844	1230	225
845	1231	224
846	1232	222
847	1234	221
848	1235	219
849	1236	218
850	1237	216
851	1239	215
852	1240	213
853	1241	212
854	1242	210
855	1244	209
856	1245	207
857	1246	206
858	1248	204
859	1249	203
860	1250	201
861	1252	200
862	1253	199
863	1255	197
864	1256	196
865	1257	194
866	1259	193
867	1260	191
868	1261	190
869	1262	188
870	1264	187
871	1265	185
872	1266	184
873	1267	182
874	1269	181
875	1270	179
876	1272	178
877	1273	176
878	1274	175
879	1275	173
880	1276	172
881	1278	171
882	1279	169
883	1280	168
884	1282	166
885	1283	165
886	1284	163
887	1285	162
888	1287	160
889	1288	159
890	1289	157
891	1290	156
892	1292	154
893	1293	153
894	1294	151
895	1295	150
896	1296	148
897	1298	147
898	1299	145
899	1300	144
900	1301	143
901	1303	141
902	1304	140
903	1305	138
904	1306	137
905	1308	135
906	1309	134
907	1310	132
908	1311	131
909	1313	129
910	1314	128
911	1315	126
912	1316	125
913	1317	124
914	1319	122
915	1320	121
916	1321	119
917	1322	118
918	1324	116
919	1325	115
920	1326	113
921	1327	112
922	1329	110
923	1330	109
924	1331	107
925	1332	106
926	1334	105
927	1335	103
928	1336	102
929	1337	100
930	1339	99
931	1340	97
932	1341	96
933	1343	94
934	1344	93
935	1345	92
936	1346	90
937	1348	89
938	1349	87
939	1350	86
940	1351	84
941	1353	83
942	1354	81
943	1355	80
944	1357	78
945	1358	77
946	1359	76
947	1361	74
948	1362	73
949	1364	71
950	1365	70
951	1367	68
952	1368	67
953	1369	66
954	1371	64
955	1372	63
956	1373	61
957	1374	60
958	1376	58
959	1377	57
960	1378	55
961	1379	54
962	1381	53
963	1382	51
964	1384	50
965	1385	48
966	1386	47
967	1388	45
968	1389	44
969	1390	43
970	1392	41
971	1393	40
972	1394	38
973	1396	37
974	1397	35
975	1398	34
976	1400	32
977	1401	31
978	1402	30
979	1403	28
980	1405	27
981	1406	25
982	1407	24
983	1408	22
984	1410	21
985	1411	20
986	1412	18
987	1413	17
988	1415	15
989	1416	14
990	1417	12
991	1419	11
992	1420	10
993	1421	8
994	1422	7
995	1424	5
996	1425	4
997	1426	2
998	1427	1
999	1429	0
